timestamp,open,high,low,close,volume
2024-11-02 10:00:00,69506.7,69608.5,69387.8,69599.9,67.61715788
2024-11-02 11:00:00,69600.0,69618.0,69594.3,69600.0,2.91624469
2024-11-02 12:00:00,69600.1,69640.0,69399.7,69418.7,7.37263371
2024-11-02 13:00:00,69418.8,69683.3,69349.8,69349.8,7.08673252
2024-11-02 14:00:00,69349.8,69382.9,69060.0,69226.9,136.98418232
2024-11-02 15:00:00,69228.0,69402.4,69141.9,69401.5,29.74479556
2024-11-02 16:00:00,69401.5,69568.2,69300.0,69567.3,18.19504497
2024-11-02 17:00:00,69567.3,69571.5,69346.8,69390.0,44.98160982
2024-11-02 18:00:00,69390.0,69450.1,69215.1,69409.1,33.51841002
2024-11-02 19:00:00,69409.2,69530.0,69391.2,69519.4,20.72583367
2024-11-02 20:00:00,69519.4,69553.0,69460.6,69550.1,47.69097158
2024-11-02 21:00:00,69550.1,69550.1,69439.9,69463.9,17.80667481
2024-11-02 22:00:00,69463.9,69533.7,69400.0,69436.3,10.62707906
2024-11-02 23:00:00,69436.4,69436.4,69153.5,69300.0,76.04915477
2024-11-03 00:00:00,69300.9,69363.3,69157.7,69201.9,8.63739963
2024-11-03 01:00:00,69202.0,69202.0,69000.0,69000.1,30.5764354
2024-11-03 02:00:00,69000.0,69000.1,67604.3,68179.9,880.83055934
2024-11-03 03:00:00,68182.9,68419.5,68024.0,68393.9,43.17822957
2024-11-03 04:00:00,68393.9,68658.7,68282.9,68569.0,20.24588654
2024-11-03 05:00:00,68568.9,68662.8,68436.0,68436.1,7.07302903
2024-11-03 06:00:00,68436.1,68715.1,68400.0,68545.5,57.55103115
2024-11-03 07:00:00,68546.2,68736.8,68375.5,68376.1,47.66524759
2024-11-03 08:00:00,68376.1,68566.7,68277.0,68500.1,32.2977871
2024-11-03 09:00:00,68500.1,68500.1,68193.8,68208.0,36.37424519
2024-11-03 10:00:00,68211.2,68467.5,68211.2,68423.1,81.32376262
2024-11-03 11:00:00,68423.1,68470.0,68293.2,68324.9,12.33989896
2024-11-03 12:00:00,68325.0,68472.5,68311.2,68466.8,23.59363695
2024-11-03 13:00:00,68461.2,68469.5,68015.0,68027.6,70.11654687
2024-11-03 14:00:00,68028.0,68163.4,67572.8,67717.9,81.75773732
2024-11-03 15:00:00,67717.8,68173.1,67483.7,68078.3,157.72526348
2024-11-03 16:00:00,68078.4,68470.0,68044.5,68132.8,60.33262495
2024-11-03 17:00:00,68132.7,68447.2,68132.7,68335.9,41.78199046
2024-11-03 18:00:00,68344.3,68399.0,67724.6,67979.5,17.25061179
2024-11-03 19:00:00,67979.5,68620.0,67979.5,68600.0,123.44796275
2024-11-03 20:00:00,68600.0,68900.1,68525.1,68900.1,42.02096168
2024-11-03 21:00:00,68900.1,69263.2,68900.1,69103.6,72.07947132
2024-11-03 22:00:00,69103.7,69248.5,68787.1,68903.7,62.91203042
2024-11-03 23:00:00,68900.2,68900.2,68534.0,68748.7,104.15113913
2024-11-04 00:00:00,68748.7,68748.7,68219.0,68694.8,42.87556311
2024-11-04 01:00:00,68685.0,68995.3,68537.2,68953.5,103.24154334
2024-11-04 02:00:00,68953.6,69259.7,68837.1,69258.7,49.88037743
2024-11-04 03:00:00,69260.0,69430.6,69014.1,69014.1,15.56731722
2024-11-04 04:00:00,69014.1,69333.0,69014.1,69093.2,12.38573775
2024-11-04 05:00:00,69096.8,69100.1,68698.6,68763.8,15.71317752
2024-11-04 06:00:00,68763.9,69116.0,68763.8,69066.0,14.91304472
2024-11-04 07:00:00,69066.0,69078.8,68564.6,68564.6,16.16045807
2024-11-04 08:00:00,68564.6,68685.8,68435.3,68631.8,27.88257601
2024-11-04 09:00:00,68630.2,68855.4,68466.5,68584.7,120.76228871
2024-11-04 10:00:00,68584.7,68847.1,68574.0,68799.6,6.26128921
2024-11-04 11:00:00,68799.7,68962.9,68653.5,68755.0,35.69555529
2024-11-04 12:00:00,68755.0,68950.0,68700.0,68935.6,12.93012058
2024-11-04 13:00:00,68935.6,69211.9,68651.0,68651.0,166.61424991
2024-11-04 14:00:00,68651.0,68660.0,68205.8,68355.8,94.47124284
2024-11-04 15:00:00,68355.8,68726.0,68231.0,68640.0,38.45647372
2024-11-04 16:00:00,68640.1,68756.4,67603.9,67707.7,107.56352764
2024-11-04 17:00:00,67697.6,67888.7,67213.0,67800.1,114.38567771
2024-11-04 18:00:00,67800.1,67993.3,67571.0,67614.6,68.22675794
2024-11-04 19:00:00,67614.6,67999.0,67614.5,67797.9,75.84273608
